id,Country.Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Total_Tests,Population
123,Eswatini,16045,591,11122,4332,137511,1167317
124,Rwanda,15988,210,11352,4426,903382,13141686
125,Guinea,14629,84,14301,244,124496,13342686
126,Cabo Verde,14290,135,13513,642,112111,559582
129,Belize,12008,306,11452,250,73199,401906
130,Haiti,11692,245,9114,2333,49333,11485212
131,Gabon,11129,70,10560,499,450620,2256750
133,Hong Kong,10553,186,9684,683,6442498,7533248
134,Réunion,10330,47,9528,755,98785,899124
135,Andorra,10137,103,9395,639,180088,77339
136,Mayotte,9546,63,2964,6519,79312,276701
137,Guadeloupe,9226,155,2242,6829,120676,400165
138,Lesotho,8969,178,2601,6190,49698,2152376
139,Suriname,8595,158,7906,531,37574,589765
140,Bahamas,8247,176,6818,1253,61201,395483
141,Mali,8130,333,6025,1772,144767,20594132
142,Congo,8060,122,5846,2092,73120,5598247
143,Guyana,7780,177,6826,777,51277,788819
144,Trinidad and Tobago,7607,135,7222,250,86119,1402198
145,Aruba,7134,61,6706,367,88138,107037
146,Martinique,6484,45,98,6341,90204,375091
148,Iceland,6016,29,5954,33,481208,342565
149,Djibouti,5936,63,5848,25,109528,996534
150,Equatorial Guinea,5534,86,5300,148,87867,1430041
151,Togo,5290,79,4418,793,210614,8393325
152,CAR,4989,63,4885,41,35523,4879557
154,Curaçao,4597,21,4515,61,44840,164494
155,Niger,4575,164,3916,495,75041,24719821
156,South Sudan,4267,66,3634,567,90807,11271811
157,Gambia,4184,132,3876,176,36438,2456646
158,Gibraltar,4163,79,3852,232,162654,33685
159,Benin,4119,54,3552,513,430681,12310413
160,Channel Islands,3843,83,3345,415,326962,174818
161,Sierra Leone,3728,79,2397,1252,109684,8072987
163,San Marino,3111,68,2774,269,35380,33974
165,Guinea-Bissau,2662,46,2427,189,45839,1995470
166,Liechtenstein,2513,52,2413,48,24795,38193
167,New Zealand,2315,25,2228,62,1551707,5002100
168,Eritrea,2309,7,1683,619,23693,3575588
169,Yemen,2122,615,1427,80,17404,30214304
170,Vietnam,1957,35,1465,457,1436836,97860538
171,Liberia,1945,84,1766,95,66273,5127889
172,Sint Maarten,1911,27,1755,129,14399,43166
173,Mongolia,1890,2,1398,490,1082879,3309618
174,Burundi,1686,2,773,911,90019,12099083
175,Barbados,1611,14,1238,359,104838,287586
176,Monaco,1596,18,1332,246,51953,39408
177,Turks and Caicos,1590,9,1254,327,14526,39028
178,Saint Lucia,1556,18,779,759,25268,184128
179,Sao Tome and Principe,1298,17,1058,223,11592,221570
180,Seychelles,1289,5,1113,171,5200,98710
181,Saint Martin,1234,12,1050,172,12433,39057
182,St. Vincent Grenadines,1067,3,338,726,30154,111151
183,Taiwan,919,9,839,71,161613,23842570
184,Papua New Guinea,867,9,828,30,42789,9047415
185,Bhutan,859,1,847,11,479480,776666
187,Bermuda,692,12,669,11,165241,62140
188,Faeroe Islands,655,1,650,4,223328,48974
189,Mauritius,584,10,540,34,289552,1273031
192,Isle of Man,434,25,398,11,27870,85302
193,Cayman Islands,400,2,368,30,67696,66181
194,Caribbean Netherlands,360,3,244,113,5145,26368
195,St. Barth,360,1,247,112,8518,9895
196,Antigua and Barbuda,268,7,181,80,9641,98412
197,Brunei ,180,3,172,5,92611,439975
198,Grenada,148,1,146,1,20288,112835
200,British Virgin Islands,114,1,95,18,13223,30351
202,Fiji,56,2,53,1,26510,900320
221,China,89669,4636,83729,1304,160000000,1439323776
